cname,code,dotcount,exp,ifshowcode,memo,name,nodesort,sortcode,tag,unit
铁矿石原矿量产量_当月值,A02020201,2,,FALSE,,铁矿石原矿量产量_当月值,1,168,,万吨
铁矿石原矿量产量_累计值,A02020203,2,,FALSE,,铁矿石原矿量产量_累计值,1,169,,万吨
磷矿石产量_当月值,A02020301,2,,FALSE,,磷矿石产量_当月值,1,171,,万吨
磷矿石产量_累计值,A02020303,2,,FALSE,,磷矿石产量_累计值,1,172,,万吨
原盐产量_当月值,A02020401,2,,FALSE,,原盐产量_当月值,1,174,,万吨
原盐产量_累计值,A02020403,2,,FALSE,,原盐产量_累计值,1,175,,万吨
成品糖产量_当月值,A02020501,2,,FALSE,成品糖1997年及以前名称为糖，产量包括土糖，1998-2004年名称为机制糖。,成品糖产量_当月值,1,177,,万吨
成品糖产量_累计值,A02020503,2,,FALSE,成品糖1997年及以前名称为糖，产量包括土糖，1998-2004年名称为机制糖。,成品糖产量_累计值,1,178,,万吨
饮料产量_当月值,A02020601,2,,FALSE,,饮料产量_当月值,1,180,,万吨
饮料产量_累计值,A02020603,2,,FALSE,,饮料产量_累计值,1,181,,万吨
纱产量_当月值,A02020701,2,,FALSE,纱包括棉纱、棉混纺纱、纯化纤纱，不包括棉线、代用纤维纱和手工纺纱。,纱产量_当月值,1,183,,万吨
纱产量_累计值,A02020703,2,,FALSE,纱包括棉纱、棉混纺纱、纯化纤纱，不包括棉线、代用纤维纱和手工纺纱。,纱产量_累计值,1,184,,万吨
布产量_当月值,A02020801,2,,FALSE,布包括棉布、棉混纺布、纯化纤布，不包括代用纤维布、手工织布。,布产量_当月值,1,186,,亿米
布产量_累计值,A02020803,2,,FALSE,布包括棉布、棉混纺布、纯化纤布，不包括代用纤维布、手工织布。,布产量_累计值,1,187,,亿米
机制纸及纸板产量_当月值,A02020901,2,,FALSE,,机制纸及纸板产量_当月值,1,189,,万吨
机制纸及纸板产量_累计值,A02020903,2,,FALSE,,机制纸及纸板产量_累计值,1,190,,万吨
新闻纸产量_当月值,A02020A01,2,,FALSE,,新闻纸产量_当月值,1,192,,万吨
新闻纸产量_累计值,A02020A03,2,,FALSE,,新闻纸产量_累计值,1,193,,万吨
硫酸产量_当月值,A02020F01,2,,FALSE,,硫酸产量_当月值,1,195,,万吨
硫酸产量_累计值,A02020F03,2,,FALSE,,硫酸产量_累计值,1,196,,万吨
烧碱(折100%)产量_当月值,A02020G01,2,,FALSE,,烧碱(折100%)产量_当月值,1,198,,万吨
烧碱(折100%)产量_累计值,A02020G03,2,,FALSE,,烧碱(折100%)产量_累计值,1,199,,万吨
纯碱(碳酸钠)产量_当月值,A02020H01,2,,FALSE,,纯碱(碳酸钠)产量_当月值,1,201,,万吨
纯碱(碳酸钠)产量_累计值,A02020H03,2,,FALSE,,纯碱(碳酸钠)产量_累计值,1,202,,万吨
农用氮磷钾化肥(折纯)产量_当月值,A02020I01,2,,FALSE,农用化肥按有效成分100%计算。,农用氮磷钾化肥(折纯)产量_当月值,1,204,,万吨
农用氮磷钾化肥(折纯)产量_累计值,A02020I03,2,,FALSE,农用化肥按有效成分100%计算。,农用氮磷钾化肥(折纯)产量_累计值,1,205,,万吨
化学农药原药产量_当月值,A02020J01,2,,FALSE,,化学农药原药产量_当月值,1,207,,万吨
化学农药原药产量_累计值,A02020J03,2,,FALSE,,化学农药原药产量_累计值,1,208,,万吨
乙烯产量_当月值,A02020K01,2,,FALSE,,乙烯产量_当月值,1,210,,万吨
乙烯产量_累计值,A02020K03,2,,FALSE,,乙烯产量_累计值,1,211,,万吨
初级形态的塑料产量_当月值,A02020L01,2,,FALSE,初级形态的塑料2004年及以前名称为塑料树脂及共聚物，简称塑料。,初级形态的塑料产量_当月值,1,213,,万吨
初级形态的塑料产量_累计值,A02020L03,2,,FALSE,初级形态的塑料2004年及以前名称为塑料树脂及共聚物，简称塑料。,初级形态的塑料产量_累计值,1,214,,万吨
合成洗涤剂产量_当月值,A02020M01,2,,FALSE,,合成洗涤剂产量_当月值,1,216,,万吨
合成洗涤剂产量_累计值,A02020M03,2,,FALSE,,合成洗涤剂产量_累计值,1,217,,万吨
化学纤维产量_当月值,A02020N01,2,,FALSE,,化学纤维产量_当月值,1,219,,万吨
化学纤维产量_累计值,A02020N03,2,,FALSE,,化学纤维产量_累计值,1,220,,万吨
塑料制品产量_当月值,A02020O01,2,,FALSE,,塑料制品产量_当月值,1,222,,万吨
塑料制品产量_累计值,A02020O03,2,,FALSE,,塑料制品产量_累计值,1,223,,万吨
水泥产量_当月值,A02020P01,2,,FALSE,,水泥产量_当月值,1,225,,万吨
水泥产量_累计值,A02020P03,2,,FALSE,,水泥产量_累计值,1,226,,万吨
平板玻璃产量_当月值,A02020Q01,2,,FALSE,,平板玻璃产量_当月值,1,228,,万重量箱
平板玻璃产量_累计值,A02020Q03,2,,FALSE,,平板玻璃产量_累计值,1,229,,万重量箱
生铁产量_当月值,A02020R01,2,,FALSE,,生铁产量_当月值,1,231,,万吨
生铁产量_累计值,A02020R03,2,,FALSE,,生铁产量_累计值,1,232,,万吨
粗钢产量_当月值,A02020S01,2,,FALSE,,粗钢产量_当月值,1,234,,万吨
粗钢产量_累计值,A02020S03,2,,FALSE,,粗钢产量_累计值,1,235,,万吨
钢材产量_当月值,A02020T01,2,,FALSE,,钢材产量_当月值,1,237,,万吨
钢材产量_累计值,A02020T03,2,,FALSE,,钢材产量_累计值,1,238,,万吨
十种有色金属产量_当月值,A02020U01,2,,FALSE,,十种有色金属产量_当月值,1,240,,万吨
十种有色金属产量_累计值,A02020U03,2,,FALSE,,十种有色金属产量_累计值,1,241,,万吨
氧化铝产量_当月值,A02020V01,2,,FALSE,,氧化铝产量_当月值,1,243,,万吨
氧化铝产量_累计值,A02020V03,2,,FALSE,,氧化铝产量_累计值,1,244,,万吨
铜材产量_当月值,A02020W01,2,,FALSE,,铜材产量_当月值,1,246,,万吨
铜材产量_累计值,A02020W03,2,,FALSE,,铜材产量_累计值,1,247,,万吨
铝材产量_当月值,A02020X01,2,,FALSE,,铝材产量_当月值,1,249,,万吨
铝材产量_累计值,A02020X03,2,,FALSE,,铝材产量_累计值,1,250,,万吨
工业锅炉产量_当月值,A02020Y01,2,,FALSE,,工业锅炉产量_当月值,1,252,,蒸发量吨
工业锅炉产量_累计值,A02020Y03,2,,FALSE,,工业锅炉产量_累计值,1,253,,蒸发量吨
发动机产量_当月值,A02020Z01,2,,FALSE,发动机2008年及以前名称为内燃机。发动机包括汽车用发动机。,发动机产量_当月值,1,255,,万千瓦
发动机产量_累计值,A02020Z03,2,,FALSE,发动机2008年及以前名称为内燃机。发动机包括汽车用发动机。,发动机产量_累计值,1,256,,万千瓦
金属切削机床产量_当月值,A02021001,2,,FALSE,金属切削机床不包括台钻、砂轮机、抛光机。,金属切削机床产量_当月值,1,258,,万台
金属切削机床产量_累计值,A02021003,2,,FALSE,金属切削机床不包括台钻、砂轮机、抛光机。,金属切削机床产量_累计值,1,259,,万台
电动手提式工具产量_当月值,A02021101,2,,FALSE,,电动手提式工具产量_当月值,1,261,,万台
电动手提式工具产量_累计值,A02021103,2,,FALSE,,电动手提式工具产量_累计值,1,262,,万台
金属冶炼设备产量_当月值,A02021201,2,,FALSE,,金属冶炼设备产量_当月值,1,264,,吨
金属冶炼设备产量_累计值,A02021203,2,,FALSE,,金属冶炼设备产量_累计值,1,265,,吨
水泥专用设备产量_当月值,A02021301,2,,FALSE,,水泥专用设备产量_当月值,1,267,,吨
水泥专用设备产量_累计值,A02021303,2,,FALSE,,水泥专用设备产量_累计值,1,268,,吨
包装专用设备产量_当月值,A02021401,2,,FALSE,,包装专用设备产量_当月值,1,270,,台
包装专用设备产量_累计值,A02021403,2,,FALSE,,包装专用设备产量_累计值,1,271,,台
大型拖拉机产量_当月值,A02021501,2,,FALSE,拖拉机是指14.7千瓦及以上的轮式和履带式拖拉机。用本厂自产的拖拉机装配的推土机，只计推土机产量，不计拖拉机产量。,大型拖拉机产量_当月值,1,273,,台
大型拖拉机产量_累计值,A02021503,2,,FALSE,拖拉机是指14.7千瓦及以上的轮式和履带式拖拉机。用本厂自产的拖拉机装配的推土机，只计推土机产量，不计拖拉机产量。,大型拖拉机产量_累计值,1,274,,台
中型拖拉机产量_当月值,A02021601,2,,FALSE,拖拉机是指14.7千瓦及以上的轮式和履带式拖拉机。用本厂自产的拖拉机装配的推土机，只计推土机产量，不计拖拉机产量。,中型拖拉机产量_当月值,1,276,,台
中型拖拉机产量_累计值,A02021603,2,,FALSE,拖拉机是指14.7千瓦及以上的轮式和履带式拖拉机。用本厂自产的拖拉机装配的推土机，只计推土机产量，不计拖拉机产量。,中型拖拉机产量_累计值,1,277,,台
小型拖拉机产量_当月值,A02021701,2,,FALSE,拖拉机是指14.7千瓦及以上的轮式和履带式拖拉机。用本厂自产的拖拉机装配的推土机，只计推土机产量，不计拖拉机产量。,小型拖拉机产量_当月值,1,279,,万台
小型拖拉机产量_累计值,A02021703,2,,FALSE,拖拉机是指14.7千瓦及以上的轮式和履带式拖拉机。用本厂自产的拖拉机装配的推土机，只计推土机产量，不计拖拉机产量。,小型拖拉机产量_累计值,1,280,,万台
大气污染防治设备产量_当月值,A02021801,2,,FALSE,,大气污染防治设备产量_当月值,1,282,,台（套）
大气污染防治设备产量_累计值,A02021803,2,,FALSE,,大气污染防治设备产量_累计值,1,283,,台（套）
铁路机车产量_当月值,A02021901,2,,FALSE,,铁路机车产量_当月值,1,285,,辆
铁路机车产量_累计值,A02021903,2,,FALSE,,铁路机车产量_累计值,1,286,,辆
汽车产量_当月值,A02021A01,2,,FALSE,,汽车产量_当月值,1,288,,万辆
汽车产量_累计值,A02021A03,2,,FALSE,,汽车产量_累计值,1,289,,万辆
民用钢质船舶产量_当月值,A02021B01,2,,FALSE,2009年以后，民用钢质船舶的计量单位从万总吨改为万载重吨。,民用钢质船舶产量_当月值,1,291,,万载重吨
民用钢质船舶产量_累计值,A02021B03,2,,FALSE,2009年以后，民用钢质船舶的计量单位从万总吨改为万载重吨。,民用钢质船舶产量_累计值,1,292,,万载重吨
发电设备产量_当月值,A02021C01,2,,FALSE,发电机组（发电设备）指500千瓦以上的水轮发电机组、汽轮发电机和燃气轮发电机等。,发电设备产量_当月值,1,294,,万千瓦
发电设备产量_累计值,A02021C03,2,,FALSE,发电机组（发电设备）指500千瓦以上的水轮发电机组、汽轮发电机和燃气轮发电机等。,发电设备产量_累计值,1,295,,万千瓦
交流电动机产量_当月值,A02021D01,2,,FALSE,,交流电动机产量_当月值,1,297,,万千瓦
交流电动机产量_累计值,A02021D03,2,,FALSE,,交流电动机产量_累计值,1,298,,万千瓦
家用洗衣机产量_当月值,A02021E01,2,,FALSE,,家用洗衣机产量_当月值,1,300,,万台
家用洗衣机产量_累计值,A02021E03,2,,FALSE,,家用洗衣机产量_累计值,1,301,,万台
家用电冰箱产量_当月值,A02021F01,2,,FALSE,,家用电冰箱产量_当月值,1,303,,万台
家用电冰箱产量_累计值,A02021F03,2,,FALSE,,家用电冰箱产量_累计值,1,304,,万台
家用冷柜产量_当月值,A02021G01,2,,FALSE,2008年冷柜（含冷冻箱、冷藏箱、展示柜），2009年以后家用冷柜（家用冷冻箱），应视为不同产品。,家用冷柜产量_当月值,1,306,,万台
家用冷柜产量_累计值,A02021G03,2,,FALSE,2008年冷柜（含冷冻箱、冷藏箱、展示柜），2009年以后家用冷柜（家用冷冻箱），应视为不同产品。,家用冷柜产量_累计值,1,307,,万台
房间空气调节器产量_当月值,A02021H01,2,,FALSE,,房间空气调节器产量_当月值,1,309,,万台
房间空气调节器产量_累计值,A02021H03,2,,FALSE,,房间空气调节器产量_累计值,1,310,,万台
程控交换机产量_当月值,A02021I01,2,,FALSE,,程控交换机产量_当月值,1,312,,万线
程控交换机产量_累计值,A02021I03,2,,FALSE,,程控交换机产量_累计值,1,313,,万线
传真机产量_当月值,A02021J01,2,,FALSE,,传真机产量_当月值,1,315,,万部
传真机产量_累计值,A02021J03,2,,FALSE,,传真机产量_累计值,1,316,,万部
移动通信基站设备产量_当月值,A02021K01,2,,FALSE,从2020年起，移动通信基站设备产量计量单位调整为射频模块。,移动通信基站设备产量_当月值,1,318,,万射频模块
移动通信基站设备产量_累计值,A02021K03,2,,FALSE,从2020年起，移动通信基站设备产量计量单位调整为射频模块。,移动通信基站设备产量_累计值,1,319,,万射频模块
移动通信手持机产量_当月值,A02021L01,2,,FALSE,,移动通信手持机产量_当月值,1,321,,万台
移动通信手持机产量_累计值,A02021L03,2,,FALSE,,移动通信手持机产量_累计值,1,322,,万台
电子计算机整机产量_当月值,A02021U01,2,,FALSE,,电子计算机整机产量_当月值,1,324,,万台
电子计算机整机产量_累计值,A02021U02,2,,FALSE,,电子计算机整机产量_累计值,1,325,,万台
微型计算机设备产量_当月值,A02021M01,2,,FALSE,,微型计算机设备产量_当月值,1,327,,万台
微型计算机设备产量_累计值,A02021M03,2,,FALSE,,微型计算机设备产量_累计值,1,328,,万台
集成电路产量_当月值,A02021N01,2,,FALSE,,集成电路产量_当月值,1,330,,万块
集成电路产量_累计值,A02021N03,2,,FALSE,,集成电路产量_累计值,1,331,,万块
彩色电视机产量_当月值,A02021O01,2,,FALSE,,彩色电视机产量_当月值,1,333,,万台
彩色电视机产量_累计值,A02021O03,2,,FALSE,,彩色电视机产量_累计值,1,334,,万台
电工仪器仪表产量_当月值,A02021P01,2,,FALSE,,电工仪器仪表产量_当月值,1,336,,万台
电工仪器仪表产量_累计值,A02021P03,2,,FALSE,,电工仪器仪表产量_累计值,1,337,,万台
复印和胶版印制设备_当月值,A02021Q01,2,,FALSE,2009年以后，复印机械改为复印和胶版印制设备。,复印和胶版印制设备_当月值,1,339,,万台
复印和胶版印制设备_累计值,A02021Q03,2,,FALSE,2009年以后，复印机械改为复印和胶版印制设备。,复印和胶版印制设备_累计值,1,340,,万台
原煤产量_当月值,A03010101,2,,FALSE,,,,,,
原煤产量_累计值,A03010102,2,,FALSE,,,,,,
