Provinces,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Anhui,263.56,313.36,503.5,919.6999999999999,1993.5,2061.2,2463.7000000000003,2846.7,2965.92,2329.08,2304.2799999999997,2683.76,2890.57,2933.1000000000004,2673.08,2525.8199999999997,2575.8199999999997,2555.35,3390.0411111111753,3525.823216374265
Beijing,28150.0,31736.2,34977.1,37203.0,42501.0,44239.6,46715.0,50794.0,52554.99999999999,54591.0,56786.0,58465.0,61136.0,65466.0,62932.0,63927.77,65935.0,68377.83,73627.94562091585,75960.20013071876
Chongqing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fujian,272.0,272.0,272.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gansu,6443.17,6844.0199999999995,7416.1,7957.0,8882.8,9601.800000000001,10544.199999999999,12162.3,12943.27,15436.91,15269.980000000001,16137.13,17434.739999999998,20360.0,23460.399999999998,26121.28,27867.97,28364.95,27922.023594771046,29263.242335741408
Guangdong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guangxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guizhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,190.7,0.0,48.62,106.8,211.14999999999998,110.11999999999999,136.63,175.5,171.35372549019303,182.5516615067063
Hainan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hebei,17229.41,18552.19,18941.2,21934.300000000003,26735.899999999998,30554.3,38682.9,42049.399999999994,44670.310000000005,50219.73,52295.509999999995,58750.64,68066.75,74462.09999999999,83185.34,85881.77,87792.61,96740.02,97626.5660784319,102541.968472654
Heilongjiang,22707.25,24397.36,26056.9,28966.5,31481.9,34941.7,37513.4,42939.5,48336.47,53803.95,57655.99,62457.22,67780.7,73217.0,76652.31,78100.1,82603.82999999999,85755.89000000001,90453.65575163346,94505.10507051926
Henan,4898.44,5361.41,6043.1,7041.500000000001,8625.1,9282.5,10737.699999999999,11830.9,13006.12,15151.68,18993.11,22375.47,26506.34,38897.8,43420.68,51599.82,55995.38,64002.549999999996,54668.86647058837,58003.77873065043
Hubei,497.99999999999994,849.0,859.0,866.0,857.0,908.0000000000001,978.0,1216.9,1681.94,1745.08,1765.18,2396.18,1797.0,1433.0,1471.0,1472.9999999999998,1759.02,1955.0600000000002,2079.8422222222143,2155.4492397660797
Hunan,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InnerMongolia,9214.97,11253.9,13155.699999999999,16109.9,18447.899999999998,20769.4,25340.3,29737.0,32921.23,39020.2,41967.39,44869.079999999994,50537.49,54002.5,58293.32,61374.75,63311.92,64915.99,70593.12065359484,74192.14540075697
Jiangsu,2147.1,9396.57,3735.2000000000003,1476.3000000000002,10448.1,1706.8,9946.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.6,2950.02,0.0,0.0
Jiangxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jilin,17772.010000000002,19585.19,20164.300000000003,22617.2,23568.5,28570.7,31717.8,34810.8,38296.47,42823.24,45006.2,47990.19,51864.01,57721.7,62633.01,64618.93,67591.44,72162.87999999999,73499.79176470637,76853.48581011314
Liaoning,38149.65,47620.659999999996,46773.100000000006,54118.1,60989.8,68464.3,74526.0,81581.4,87108.05,92108.72,96587.19,104543.3,108759.5,118236.4,126746.92,120379.15,132766.57,140520.52,145463.02928104438,151418.32283109613
Ningxia,4030.88,4327.68,4500.8,4807.0,5241.7,5895.099999999999,6380.3,6848.6,7373.3099999999995,8236.4,8757.369999999999,9979.050000000001,11010.789999999999,12978.0,14682.779999999999,13952.25,14523.109999999999,15137.750000000002,15709.411241830094,16435.180436876602
Qinghai,107.51,110.58,114.4,127.49999999999999,135.1,196.1,208.3,269.9,304.2,450.9,455.96,461.46,462.36,7844.6,7923.900000000001,8014.55,10304.37,10370.369999999999,8434.080000000075,9041.982807017397
Shaanxi,3182.1,3317.8999999999996,4208.3,6304.6,6546.9,8719.0,9263.4,10069.300000000001,12307.779999999999,15963.0,19824.59,24030.34,27918.949999999997,39578.6,35226.829999999994,38614.04,41685.2,49252.18,45882.03732026089,48629.77803233545
Shandong,22713.960000000003,26197.76,30517.500000000004,37053.799999999996,41472.3,46770.6,54709.8,61120.799999999996,67422.5,75721.23000000001,83003.3,90150.05,107112.52,126587.3,133997.02,148255.97999999998,159346.32,172858.86000000002,166679.50013072044,175540.43230821937
Shanghai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shanxi,9141.21,12708.09,15264.4,17336.6,22186.4,25512.5,28738.7,32841.4,36056.13,39826.16,42915.549999999996,54059.020000000004,57432.22,51586.4,55160.72,67828.01,74889.52,77839.0,77804.8995424835,81776.63148262817
Sichuan,4000.0,15.0,15.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.48,0.0,0.0
Tianjin,11440.999999999998,14040.900000000001,15140.6,16907.9,19245.399999999998,20614.0,24034.0,27162.7,30000.239999999998,32896.88,34239.94,37677.92,41832.61,47566.9,49451.51,51409.51,55336.17,56716.31,59151.03300653584,61952.226597866975
Tibet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,22.0,0.0,150.0,150.0,182.0,184.0,136.62745098039522,146.72858617130987
Xinjiang,10321.76,10964.43,12857.300000000001,14472.1,15843.199999999999,17072.5,19162.3,21063.800000000003,21844.02,23452.42,25204.92,30728.059999999998,36050.08,37754.6,39478.0,40427.39,43492.62,49346.62,47523.84745098092,49780.53244582005
Yunnan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,300.0,369.0,110.0,115.0,182.3660130718963,195.60337117303425
Zhejiang,3332.2000000000003,3942.0,4338.0,4086.0,3731.0,3680.0,3991.9,4439.0,8575.0,7710.0,8000.7,4429.0,0.0,0.0,0.0,0.0,0.0,0.0,754.8339869281044,481.92294461640995
